claim_id,npi,provider_name,specialty,state,cpt_code,cpt_desc,icd10_code,diagnosis,place_of_service,year,tot_benes,tot_srvcs,avg_submitted_chrg,avg_allowed_amt,avg_paid_amt,avg_standardized_amt,payment_to_charge_ratio,is_anomaly
F40062E8,7658202472,Parker,General Surgery,TX,31622,"Bronchoscopy, diagnostic",N39.0,Urinary tract infection,Outpatient Hospital,2021,136,360,4860.38,1626.92,1468.37,1505.23,0.3021,False
5AF62178,9786342496,Tanner,Radiology,FL,85025,Complete blood count (CBC),M54.5,Low back pain,Inpatient Hospital,2023,119,204,20.16,9.23,8.02,7.69,0.3978,False
83C1E657,6284358073,Castillo,Pulmonology,GA,99232,"Subsequent hospital care, per day",F32.1,Major depressive disorder,Outpatient Hospital,2021,218,280,257.57,133.62,117.88,128.1,0.4577,False
749510D2,1284200660,Medina,Cardiology,FL,27447,Total knee replacement,I10,Essential hypertension,Emergency Dept,2022,148,310,10820.69,4411.21,3969.17,4024.11,0.3668,False
194D0BF2,8777087547,Montoya,Emergency Medicine,IN,36415,Routine venipuncture,J18.9,"Pneumonia, unspecified",Office,2020,166,416,24.81,8.14,6.17,6.09,0.2487,False
F46077E1,3106681020,Rodriguez,Pulmonology,MO,99285,Emergency dept visit - high complexity,N39.0,Urinary tract infection,Outpatient Hospital,2023,21,61,1931.1,1254.93,1109.93,1058.76,0.5748,False
F33A2878,3659627042,Herrera,Pulmonology,MA,74177,CT abdomen and pelvis with contrast,F32.1,Major depressive disorder,Emergency Dept,2022,47,102,2135.21,1077.99,945.35,943.79,0.4427,False
407BE69C,4064512835,Lewis,Pulmonology,NY,43239,Upper GI endoscopy with biopsy,M54.5,Low back pain,Office,2023,417,1209,1824.51,990.32,799.83,871.05,0.4384,False
1569F926,2105605624,Williamson,Gastroenterology,NC,99232,"Subsequent hospital care, per day",K21.0,GERD with esophagitis,Emergency Dept,2023,1,2,123.18,70.26,64.85,69.06,0.5265,False
8A36F873,1407466606,Nunez,Orthopedic Surgery,IN,99214,"Office visit - established patient, moderate complexity",K21.0,GERD with esophagitis,Inpatient Hospital,2023,137,325,263.21,124.89,104.71,95.32,0.3978,False
A2539881,7310713826,Smith,Family Practice,CA,70553,MRI brain with contrast,N39.0,Urinary tract infection,Office,2023,209,257,3438.08,1885.53,1531.33,1382.39,0.4454,False
3574EE51,2728610532,Moody,Pulmonology,PA,93306,Echocardiography with doppler,I25.10,Coronary artery disease,Outpatient Hospital,2023,248,855,2385.51,959.34,854.85,840.4,0.3584,False
4BB4BA4E,8343338146,Walters,Cardiology,WA,99291,"Critical care, first 30-74 minutes",J06.9,Acute upper respiratory infection,Emergency Dept,2022,142,416,1137.49,543.59,503.29,539.93,0.4425,False
86509C5E,8425400883,Lewis,Emergency Medicine,CA,74177,CT abdomen and pelvis with contrast,F32.1,Major depressive disorder,Emergency Dept,2022,444,608,4041.18,2396.89,2075.67,2142.07,0.5136,False
343B16DF,7894627236,Martin,Radiology,MD,43239,Upper GI endoscopy with biopsy,M17.11,"Primary osteoarthritis, right knee",Emergency Dept,2020,293,573,2138.36,882.33,695.04,722.49,0.325,False
E00DE882,4406371486,Gomez,Neurology,TN,43239,Upper GI endoscopy with biopsy,M17.11,"Primary osteoarthritis, right knee",Outpatient Hospital,2022,254,866,1965.2,1046.06,956.26,1048.22,0.4866,False
F0D2EA9E,5759326080,Marquez,Physical Therapy,NY,93306,Echocardiography with doppler,J18.9,"Pneumonia, unspecified",Emergency Dept,2022,497,688,2347.75,716.94,558.38,599.8,0.2378,False
3734649A,2191430365,Hanson,General Surgery,WA,43239,Upper GI endoscopy with biopsy,E11.9,Type 2 diabetes mellitus,Emergency Dept,2020,163,418,3129.41,1872.39,1726.1,1684.68,0.5516,False
43D55999,4425184678,Mosley,Family Practice,GA,45378,"Colonoscopy, diagnostic",F32.1,Major depressive disorder,Office,2023,325,896,3493.56,1961.17,1641.1,1509.3,0.4698,False
2C3B2A2F,8874543585,Griffin,Neurology,MI,85025,Complete blood count (CBC),I10,Essential hypertension,Emergency Dept,2021,75,120,22.76,13.17,10.65,10.38,0.4679,False
61DE0C10,2257087980,Williams,Cardiology,FL,85025,Complete blood count (CBC),N39.0,Urinary tract infection,Inpatient Hospital,2023,74,116,72.25,37.35,29.81,32.27,0.4126,False
8357C5E2,3719668379,Kelly,Pulmonology,CA,27447,Total knee replacement,I25.10,Coronary artery disease,Inpatient Hospital,2023,177,614,23320.56,12526.96,9791.01,9676.91,0.4198,False
34F1622E,3493529464,James,Physical Therapy,MI,27447,Total knee replacement,J06.9,Acute upper respiratory infection,Inpatient Hospital,2020,184,448,24989.35,14960.31,11539.35,11265.55,0.4618,False
792A8DA8,4477941907,Willis,Emergency Medicine,CA,36415,Routine venipuncture,N39.0,Urinary tract infection,Inpatient Hospital,2021,382,856,35.95,20.58,19.44,21.04,0.5408,False
8C409A6A,7068590382,Simon,Gastroenterology,GA,45378,"Colonoscopy, diagnostic",J06.9,Acute upper respiratory infection,Office,2020,430,577,2552.23,1371.1,1226.02,1265.05,0.4804,False
F94361D8,3650713543,Bullock,Physical Therapy,TX,29881,Knee arthroscopy with meniscectomy,N39.0,Urinary tract infection,Outpatient Hospital,2022,213,306,3824.31,1323.19,1233.11,1190.38,0.3224,False
B8FFE7D0,5697586261,Wolf,Radiology,NC,74177,CT abdomen and pelvis with contrast,M54.5,Low back pain,Office,2023,383,1216,2399.4,1412.39,1195.4,1268.68,0.4982,False
BF224418,2761780033,Mathews,Cardiology,GA,99232,"Subsequent hospital care, per day",M17.11,"Primary osteoarthritis, right knee",Office,2023,8,13,293.45,170.67,140.49,148.66,0.4788,False
487B6466,0568589448,Acosta,Pulmonology,NC,99223,Initial hospital care - high complexity,N39.0,Urinary tract infection,Inpatient Hospital,2021,242,257,528.62,276.73,228.11,236.09,0.4315,False
215EA080,0585993488,Moore,Pulmonology,MA,99232,"Subsequent hospital care, per day",F32.1,Major depressive disorder,Outpatient Hospital,2021,253,326,229.85,78.34,59.47,53.97,0.2587,False
C605F734,8234910133,Hahn,Physical Therapy,VA,36415,Routine venipuncture,J18.9,"Pneumonia, unspecified",Emergency Dept,2022,51,157,22.57,12.63,9.86,9.69,0.4369,False
D485543F,2487171459,Cameron,Neurology,VA,99214,"Office visit - established patient, moderate complexity",J06.9,Acute upper respiratory infection,Inpatient Hospital,2020,352,675,221.98,140.45,129.37,119.0,0.5828,False
CD22E2D4,1340259912,Ramirez,Emergency Medicine,OH,36415,Routine venipuncture,E11.9,Type 2 diabetes mellitus,Office,2020,328,817,38.47,22.64,17.4,16.4,0.4523,False
11B8C89F,9238849329,Oneill,Orthopedic Surgery,PA,43239,Upper GI endoscopy with biopsy,N39.0,Urinary tract infection,Inpatient Hospital,2021,417,1323,1513.01,893.34,769.02,782.31,0.5083,False
DB64D54F,0862284491,Patterson,Internal Medicine,NC,45378,"Colonoscopy, diagnostic",M54.5,Low back pain,Office,2022,444,472,3468.82,1696.51,1543.32,1422.92,0.4449,False
D8587ABC,7428412265,Collins,General Surgery,NJ,99285,Emergency dept visit - high complexity,I10,Essential hypertension,Emergency Dept,2022,382,442,843.94,268.66,241.35,242.61,0.286,False
0B7AE809,1085487102,Perez,General Surgery,NY,74177,CT abdomen and pelvis with contrast,I25.10,Coronary artery disease,Inpatient Hospital,2023,444,1175,3263.44,2058.89,1562.02,1650.5,0.4786,False
DC1859FC,6848952903,Tran,Internal Medicine,TN,99213,"Office visit - established patient, low complexity",M17.11,"Primary osteoarthritis, right knee",Outpatient Hospital,2020,461,554,152.47,51.5,45.96,45.44,0.3014,False
8858D4BA,6167876726,Myers,Emergency Medicine,WI,71046,"Chest X-ray, 2 views",N39.0,Urinary tract infection,Emergency Dept,2020,233,527,136.77,56.6,53.71,54.04,0.3927,False
B62A8AF1,5278129822,Moon,Pulmonology,MD,93306,Echocardiography with doppler,J06.9,Acute upper respiratory infection,Office,2022,205,418,1531.12,935.26,778.85,829.85,0.5087,False
6B597276,2028323062,George,Gastroenterology,NC,90837,"Psychotherapy, 60 minutes",K21.0,GERD with esophagitis,Office,2022,44,54,290.72,157.1,132.73,121.88,0.4566,False
D52C4F63,8998298728,Mendoza,Radiology,TX,71046,"Chest X-ray, 2 views",N39.0,Urinary tract infection,Emergency Dept,2020,448,1193,193.93,96.3,85.13,83.61,0.439,False
7BC3BB4C,3640787267,Logan,General Surgery,MI,29881,Knee arthroscopy with meniscectomy,K21.0,GERD with esophagitis,Inpatient Hospital,2020,434,551,2518.0,1202.58,939.15,935.8,0.373,False
E0FBFB89,4841397722,Dean,General Surgery,GA,27447,Total knee replacement,M17.11,"Primary osteoarthritis, right knee",Inpatient Hospital,2020,330,789,22367.64,14339.7,13101.97,13399.58,0.5858,True
9171DF9E,8836140304,Spence,Emergency Medicine,MI,85025,Complete blood count (CBC),K21.0,GERD with esophagitis,Office,2020,36,48,41.06,14.92,11.62,11.99,0.283,False
4AAEA8C9,9205971746,Lewis,Orthopedic Surgery,WA,74177,CT abdomen and pelvis with contrast,M17.11,"Primary osteoarthritis, right knee",Office,2020,483,1168,3087.76,1096.44,890.67,859.39,0.2885,False
967248D3,6078544983,Saunders,Cardiology,WI,71046,"Chest X-ray, 2 views",I10,Essential hypertension,Outpatient Hospital,2020,227,462,154.36,61.01,53.83,53.68,0.3487,False
6DF1D215,7390939989,Meza,Psychiatry,NY,99223,Initial hospital care - high complexity,F32.1,Major depressive disorder,Office,2020,113,224,706.93,358.84,306.95,295.19,0.4342,False
68BC3354,3775302226,Park,Emergency Medicine,OH,80053,Comprehensive metabolic panel,M54.5,Low back pain,Emergency Dept,2021,221,318,74.67,29.97,23.2,23.19,0.3107,False
91975067,5896467116,Nichols,Radiology,VA,74177,CT abdomen and pelvis with contrast,E11.9,Type 2 diabetes mellitus,Emergency Dept,2023,40,126,2889.75,1617.43,1354.18,1343.28,0.4686,False
906D6D79,9699070226,Dillon,Emergency Medicine,NY,90837,"Psychotherapy, 60 minutes",M17.11,"Primary osteoarthritis, right knee",Inpatient Hospital,2020,426,1160,104.17,43.09,39.22,40.15,0.3765,False
C15F0FF8,4786979241,Garcia,Family Practice,GA,90837,"Psychotherapy, 60 minutes",M17.11,"Primary osteoarthritis, right knee",Outpatient Hospital,2020,174,270,217.77,105.27,87.28,83.97,0.4008,False
406A1EC0,7223475751,Valdez,Pulmonology,NY,74177,CT abdomen and pelvis with contrast,J18.9,"Pneumonia, unspecified",Outpatient Hospital,2021,420,1097,3284.83,2026.98,1661.87,1737.44,0.5059,False
48847138,8468811784,Wallace,Cardiology,NC,93306,Echocardiography with doppler,J06.9,Acute upper respiratory infection,Emergency Dept,2023,488,1430,1094.95,387.07,349.07,319.42,0.3188,False
081990D6,7664602594,Campos,General Surgery,MA,31622,"Bronchoscopy, diagnostic",N39.0,Urinary tract infection,Office,2023,162,223,3750.47,2420.13,1971.54,2157.25,0.5257,False
724DFDCD,6987940824,Lynn,Pulmonology,MI,97110,Therapeutic exercise,F32.1,Major depressive disorder,Inpatient Hospital,2020,20,22,109.14,46.19,35.33,35.06,0.3237,False
1EC2090D,9180455735,Matthews,General Surgery,WI,99232,"Subsequent hospital care, per day",J18.9,"Pneumonia, unspecified",Outpatient Hospital,2022,22,46,176.9,89.0,83.74,87.74,0.4734,False
79E38888,9166812340,Morgan,Physical Therapy,IN,45378,"Colonoscopy, diagnostic",M54.5,Low back pain,Outpatient Hospital,2020,366,443,3394.31,1553.52,1417.11,1512.73,0.4175,False
F43DC582,9559286341,Kennedy,Neurology,MA,99285,Emergency dept visit - high complexity,I25.10,Coronary artery disease,Inpatient Hospital,2020,199,402,1333.7,684.76,563.41,610.5,0.4224,False
431E024F,9368463322,Robinson,Family Practice,NJ,43239,Upper GI endoscopy with biopsy,E11.9,Type 2 diabetes mellitus,Outpatient Hospital,2022,494,1613,2394.91,1042.5,834.42,893.09,0.3484,False
FCA9B5D0,3265335583,Robinson,General Surgery,PA,99232,"Subsequent hospital care, per day",K21.0,GERD with esophagitis,Inpatient Hospital,2023,363,1214,162.05,85.82,75.73,70.11,0.4673,False
F3034FA3,9533454710,Le,Cardiology,IN,43239,Upper GI endoscopy with biopsy,E11.9,Type 2 diabetes mellitus,Inpatient Hospital,2023,93,314,2615.06,1172.05,963.85,937.36,0.3686,False
F1744828,4172571180,Garcia,Orthopedic Surgery,PA,80053,Comprehensive metabolic panel,M54.5,Low back pain,Office,2022,428,1218,30.02,17.88,13.77,14.52,0.4587,False
F78EE78E,0980337480,Rodriguez,Cardiology,WI,45378,"Colonoscopy, diagnostic",M17.11,"Primary osteoarthritis, right knee",Emergency Dept,2020,463,654,1385.63,503.39,447.3,458.46,0.3228,False
CF85BF85,0997646755,Waters,Gastroenterology,GA,90837,"Psychotherapy, 60 minutes",I25.10,Coronary artery disease,Emergency Dept,2021,123,218,222.12,125.13,113.46,107.42,0.5108,False
0B4E1B54,2808121226,Mcdaniel,Pulmonology,MO,99223,Initial hospital care - high complexity,I25.10,Coronary artery disease,Outpatient Hospital,2021,495,695,577.01,230.01,190.07,191.11,0.3294,False
26EE6B51,0084283881,Anderson,Internal Medicine,TN,27447,Total knee replacement,K21.0,GERD with esophagitis,Outpatient Hospital,2022,146,176,17427.19,5853.9,5380.78,5758.69,0.3088,False
331D03AA,2724660157,Carlson,Radiology,PA,97110,Therapeutic exercise,M17.11,"Primary osteoarthritis, right knee",Office,2023,477,508,59.17,36.61,33.44,36.01,0.5652,False
92260457,7817075769,Hughes,Gastroenterology,GA,74177,CT abdomen and pelvis with contrast,M17.11,"Primary osteoarthritis, right knee",Inpatient Hospital,2021,430,1198,4980.84,2147.84,1622.99,1762.84,0.3258,False
64C9F6A0,5958511334,Mitchell,Internal Medicine,MI,71046,"Chest X-ray, 2 views",I25.10,Coronary artery disease,Office,2022,3,9,157.45,54.88,48.9,48.4,0.3106,False
17BB5593,6885963221,Robinson,Cardiology,MD,80053,Comprehensive metabolic panel,N39.0,Urinary tract infection,Emergency Dept,2020,25,39,59.31,20.1,16.23,15.58,0.2736,False
B8D64247,7689834894,Brown,Physical Therapy,WI,93306,Echocardiography with doppler,J18.9,"Pneumonia, unspecified",Inpatient Hospital,2021,220,220,827.94,397.73,317.54,294.9,0.3835,False
04CFAF41,4109331234,Rangel,Psychiatry,IL,31622,"Bronchoscopy, diagnostic",E11.9,Type 2 diabetes mellitus,Office,2023,403,1398,3332.2,1420.22,1335.97,1347.75,0.4009,False
43EC3A47,6249085843,Smith,Internal Medicine,WA,70553,MRI brain with contrast,K21.0,GERD with esophagitis,Office,2022,376,993,1910.22,583.93,530.04,513.59,0.2775,False
0CFA672A,5267327267,Zimmerman,Internal Medicine,VA,71046,"Chest X-ray, 2 views",J18.9,"Pneumonia, unspecified",Outpatient Hospital,2021,357,784,107.4,56.38,51.65,53.56,0.4809,False
778FA1B6,7073029703,Stephens,Neurology,MA,99232,"Subsequent hospital care, per day",I10,Essential hypertension,Emergency Dept,2023,478,848,158.69,50.04,39.53,35.91,0.2491,False
