year,cpt_code,procedure_name,total_services,avg_payment,total_spend
2022,99291,"Critical care, first 30-74 minutes",676357.0,324.16,220623540.0
2022,99223,Initial hospital care - high complexity,758797.0,245.49,189212571.0
2022,99214,"Office visit - established patient, moderate complexity",704860.0,96.5,67795436.0
2022,90837,"Psychotherapy, 60 minutes",683377.0,81.83,56401377.0
2022,99232,"Subsequent hospital care, per day",688228.0,79.24,54142886.0
2022,99213,"Office visit - established patient, low complexity",705097.0,67.87,48232487.0
2022,71046,"Chest X-ray, 2 views",723558.0,52.69,37681187.0
2022,97110,Therapeutic exercise,712990.0,40.3,28783002.0
2022,80053,Comprehensive metabolic panel,715520.0,23.36,16645594.0
2022,85025,Complete blood count (CBC),749728.0,20.08,15276845.0
2022,36415,Routine venipuncture,717874.0,9.98,7135329.0
2023,27447,Total knee replacement,662177.0,6744.87,4410474552.0
2023,29881,Knee arthroscopy with meniscectomy,704673.0,1819.68,1284594814.0
2023,74177,CT abdomen and pelvis with contrast,724140.0,1320.37,958427793.0
2023,31622,"Bronchoscopy, diagnostic",714890.0,1281.61,916145440.0
2023,70553,MRI brain with contrast,698207.0,1052.98,737369964.0
2023,43239,Upper GI endoscopy with biopsy,689799.0,930.93,643763951.0
2023,45378,"Colonoscopy, diagnostic",705997.0,897.67,629687783.0
2023,93306,Echocardiography with doppler,750286.0,671.2,507111623.0
2023,99285,Emergency dept visit - high complexity,690785.0,519.44,359711359.0
2023,99291,"Critical care, first 30-74 minutes",726019.0,322.49,233235429.0
2023,99223,Initial hospital care - high complexity,708710.0,244.13,172458916.0
2023,99214,"Office visit - established patient, moderate complexity",704971.0,96.02,67710248.0
2023,99232,"Subsequent hospital care, per day",717812.0,81.79,58617628.0
2023,90837,"Psychotherapy, 60 minutes",670973.0,80.62,54005265.0
2023,99213,"Office visit - established patient, low complexity",673397.0,66.53,44714822.0
2023,71046,"Chest X-ray, 2 views",724708.0,52.41,38118188.0
2023,97110,Therapeutic exercise,690359.0,40.6,28172433.0
2023,80053,Comprehensive metabolic panel,703551.0,23.25,16394823.0
2023,85025,Complete blood count (CBC),660600.0,20.16,13439036.0
2023,36415,Routine venipuncture,702118.0,10.15,7131098.0
